433,280,432,280,-16777216
432,280,428,280,-16777216
428,280,421,279,-16777216
421,279,412,279,-16777216
412,279,402,280,-16777216
402,280,386,284,-16777216
386,284,362,294,-16777216
362,294,331,311,-16777216
331,311,295,334,-16777216
295,334,261,361,-16777216
261,361,230,394,-16777216
230,394,206,425,-16777216
206,425,193,452,-16777216
193,452,191,474,-16777216
191,474,198,494,-16777216
198,494,219,512,-16777216
219,512,254,529,-16777216
254,529,309,543,-16777216
309,543,381,548,-16777216
381,548,454,550,-16777216
454,550,529,539,-16777216
529,539,603,521,-16777216
603,521,660,500,-16777216
660,500,702,476,-16777216
702,476,723,451,-16777216
723,451,732,432,-16777216
732,432,732,414,-16777216
732,414,722,392,-16777216
722,392,703,369,-16777216
703,369,671,347,-16777216
671,347,634,329,-16777216
634,329,595,318,-16777216
595,318,546,310,-16777216
546,310,490,304,-16777216
490,304,432,306,-16777216
432,306,372,317,-16777216
372,317,313,342,-16777216
313,342,254,378,-16777216
254,378,203,420,-16777216
203,420,164,463,-16777216
164,463,137,503,-16777216
137,503,129,534,-16777216
129,534,130,554,-16777216
130,554,140,571,-16777216
140,571,155,583,-16777216
155,583,177,591,-16777216
177,591,211,596,-16777216
211,596,252,599,-16777216
252,599,303,594,-16777216
303,594,354,585,-16777216
354,585,400,572,-16777216
400,572,441,556,-16777216
441,556,476,533,-16777216
476,533,503,511,-16777216
503,511,518,491,-16777216
518,491,524,475,-16777216
524,475,523,461,-16777216
523,461,513,442,-16777216
513,442,491,419,-16777216
491,419,461,396,-16777216
461,396,429,376,-16777216
429,376,400,363,-16777216
400,363,374,356,-16777216
374,356,353,354,-16777216
353,354,339,355,-16777216
339,355,332,358,-16777216
332,358,328,364,-16777216
328,364,324,375,-16777216
324,375,323,392,-16777216
323,392,324,406,-16777216
324,406,332,420,-16777216
332,420,345,428,-16777216
345,428,360,433,-16777216
360,433,373,434,-16777216
491,178,489,177,-65383
489,177,486,177,-65383
486,177,481,176,-65383
481,176,476,176,-65383
476,176,467,177,-65383
467,177,452,180,-65383
452,180,434,186,-65383
434,186,417,194,-65383
417,194,401,203,-65383
401,203,384,215,-65383
384,215,370,227,-65383
370,227,361,241,-65383
361,241,358,252,-65383
358,252,359,260,-65383
359,260,365,268,-65383
365,268,381,277,-65383
381,277,404,284,-65383
404,284,437,287,-65383
437,287,476,287,-65383
476,287,522,281,-65383
522,281,574,265,-65383
574,265,625,245,-65383
625,245,668,224,-65383
668,224,700,203,-65383
700,203,720,182,-65383
720,182,728,161,-65383
728,161,729,141,-65383
729,141,722,118,-65383
722,118,702,97,-65383
702,97,675,80,-65383
675,80,639,69,-65383
639,69,601,66,-65383
601,66,561,66,-65383
561,66,520,68,-65383
520,68,480,85,-65383
480,85,441,112,-65383
441,112,403,146,-65383
403,146,375,191,-65383
375,191,357,236,-65383
357,236,352,274,-65383
352,274,357,304,-65383
357,304,374,327,-65383
374,327,402,344,-65383
402,344,438,356,-65383
438,356,479,363,-65383
479,363,520,361,-65383
520,361,558,354,-65383
558,354,589,344,-65383
589,344,619,331,-65383
619,331,643,315,-65383
643,315,655,298,-65383
655,298,657,284,-65383
657,284,655,267,-65383
655,267,641,243,-65383
641,243,609,214,-65383
609,214,560,181,-65383
560,181,492,155,-65383
492,155,407,135,-65383
407,135,317,123,-65383
317,123,226,127,-65383
226,127,127,145,-65383
127,145,25,179,-65383
25,179,-8,217,-65383
-8,217,-8,241,-65383
-8,241,-8,282,-65383
-8,282,-8,326,-65383
-8,326,-8,367,-65383
-8,367,10,404,-65383
10,404,41,430,-65383
41,430,89,451,-65383
89,451,142,463,-65383
142,463,193,471,-65383
193,471,236,472,-65383
236,472,278,472,-65383
278,472,319,467,-65383
319,467,355,453,-65383
355,453,383,437,-65383
383,437,403,419,-65383
403,419,417,399,-65383
417,399,427,379,-65383
427,379,433,356,-65383
433,356,437,331,-65383
437,331,436,306,-65383
436,306,431,283,-65383
431,283,420,261,-65383
420,261,405,243,-65383
405,243,388,230,-65383
388,230,373,223,-65383
373,223,361,219,-65383
361,219,352,219,-65383
352,219,347,219,-65383
347,219,342,221,-65383
342,221,338,225,-65383
338,225,335,230,-65383
335,230,332,238,-65383
332,238,331,251,-65383
331,251,336,269,-65383
336,269,349,283,-65383
349,283,365,292,-65383
365,292,383,298,-65383
383,298,395,303,-65383
395,303,405,305,-65383
405,305,410,306,-65383
410,306,413,306,-65383
413,306,414,306,-65383
414,306,414,305,-65383
414,305,414,302,-65383
414,302,413,297,-65383
413,297,409,292,-65383
409,292,405,288,-65383
405,288,400,285,-65383
400,285,393,283,-65383
393,283,387,282,-65383
535,296,510,286,-6711040
510,286,495,283,-6711040
495,283,485,284,-6711040
485,284,479,288,-6711040
479,288,472,296,-6711040
472,296,463,312,-6711040
463,312,455,335,-6711040
455,335,446,364,-6711040
446,364,444,394,-6711040
444,394,443,420,-6711040
443,420,445,439,-6711040
445,439,451,450,-6711040
451,450,456,456,-6711040
456,456,461,458,-6711040
461,458,466,458,-6711040
466,458,472,457,-6711040
472,457,482,450,-6711040
482,450,500,431,-6711040
500,431,520,403,-6711040
520,403,543,368,-6711040
543,368,568,325,-6711040
568,325,587,280,-6711040
587,280,594,239,-6711040
594,239,601,205,-6711040
601,205,603,186,-6711040
603,186,603,183,-6711040
603,183,603,184,-6711040
603,184,599,200,-6711040
599,200,584,248,-6711040
584,248,563,322,-6711040
563,322,541,405,-6711040
541,405,528,487,-6711040
528,487,521,554,-6711040
521,554,524,595,-6711040
524,595,533,613,-6711040
533,613,538,617,-6711040
538,617,540,617,-6711040
540,617,543,615,-6711040
543,615,548,604,-6711040
548,604,559,580,-6711040
559,580,574,550,-6711040
574,550,585,508,-6711040
585,508,592,464,-6711040
592,464,593,415,-6711040
593,415,596,361,-6711040
596,361,596,316,-6711040
596,316,589,277,-6711040
589,277,585,257,-6711040
585,257,584,254,-6711040
584,254,582,262,-6711040
582,262,579,297,-6711040
579,297,572,348,-6711040
572,348,561,411,-6711040
561,411,556,469,-6711040
556,469,556,507,-6711040
556,507,560,524,-6711040
560,524,562,529,-6711040
562,529,564,529,-6711040
564,529,564,530,-6711040
564,530,566,530,-6711040
566,530,570,525,-6711040
570,525,580,512,-6711040
580,512,592,488,-6711040
592,488,608,459,-6711040
608,459,620,428,-6711040
620,428,631,391,-6711040
631,391,644,347,-6711040
644,347,651,304,-6711040
651,304,655,271,-6711040
655,271,655,253,-6711040
655,253,655,249,-6711040
655,249,655,251,-6711040
655,251,655,267,-6711040
655,267,653,306,-6711040
653,306,649,363,-6711040
649,363,645,420,-6711040
645,420,647,470,-6711040
647,470,657,505,-6711040
657,505,666,523,-6711040
666,523,672,532,-6711040
672,532,676,534,-6711040
676,534,677,534,-6711040
677,534,678,525,-6711040
678,525,681,497,-6711040
681,497,681,456,-6711040
681,456,680,410,-6711040
680,410,676,356,-6711040
676,356,671,307,-6711040
671,307,659,265,-6711040
659,265,644,236,-6711040
644,236,638,232,-6711040
638,232,634,232,-6711040
634,232,633,232,-6711040
633,232,629,240,-6711040
629,240,621,264,-6711040
621,264,611,309,-6711040
611,309,599,367,-6711040
599,367,588,430,-6711040
588,430,588,472,-6711040
588,472,592,502,-6711040
592,502,595,520,-6711040
595,520,597,528,-6711040
597,528,599,533,-6711040
599,533,600,534,-6711040
600,534,601,534,-6711040
601,534,603,531,-6711040
603,531,610,514,-6711040
610,514,621,480,-6711040
621,480,634,438,-6711040
634,438,646,388,-6711040
646,388,662,338,-6711040
662,338,677,287,-6711040
677,287,685,247,-6711040
685,247,688,221,-6711040
688,221,688,215,-6711040
688,215,687,223,-6711040
687,223,677,268,-6711040
677,268,659,336,-6711040
659,336,642,410,-6711040
642,410,632,469,-6711040
632,469,629,503,-6711040
629,503,629,513,-6711040
629,513,630,517,-6711040
630,517,632,519,-6711040
632,519,634,520,-6711040
634,520,637,520,-6711040
637,520,640,521,-6711040
640,521,644,521,-6711040
644,521,646,522,-6711040
